,index,Question 1,Answer 1,Question 2,Answer 2,Question 3,Answer 3
0,637,What is the current dataset name and how can I change it?,"The current dataset name is 'DICOM'. You can change it by clicking the pencil icon next to the name, which allows you to edit the dataset name or description.",How do I upgrade my Mirrored Dataset to a standard dataset?,"To upgrade your Mirrored Dataset to a standard dataset, click the 'Upgrade to standard dataset and folder' button, which is highlighted in red under the dataset's ID.",---,---
1,598,How can I view the datasets that the file 'Cologne_Dom-Old-Town.jpg' is linked to?,"To view the datasets linked to 'Cologne_Dom-Old-Town.jpg', click on the 'Linked to' tab on the right side, where you can see that it is linked to the 'Cologne' dataset.",What are the options available under the 'Linked to' tab for managing the dataset connections?,"Under the 'Linked to' tab, you can 'View dataset' or 'Remove from dataset' by clicking the options next to the dataset name 'Cologne'.",What do I do next to remove 'Cologne_Dom-Old-Town.jpg' from its current dataset?,"To remove 'Cologne_Dom-Old-Town.jpg' from its current dataset, click on the 'Remove from dataset' option in the dropdown menu under the 'Linked to' tab in the 'Details' section on the right."
2,100,How can I revert a rejected task to pending in this interface?,"To revert a rejected task to pending, click the red cross icon next to the instance in the 'Completed reviews' section labeled as 'Building (0)', located on the left side of the interface.",What does the green eye icon next to 'Building (1)' indicate?,The green eye icon next to 'Building (1)' in the 'Completed reviews' section indicates that this instance has been reviewed and approved.,What do I do next to finalize the review process?,"To finalize the review process, you need to click the 'Approve task' button or the 'Reject task' button located at the top right corner of the interface."
3,4,What model type should I select for a day/night image classification task?,"You should select the 'Classification' model type, which is already chosen in the screenshot.",How can I add more categories to the model's ontology?,Click on the '+ Add model ontology' button in the 'Set up the model's ontology' section on the right side of the screen.,What do I do next to finalize creating my classification model?,"Answer To finalize creating your model, click the 'Create model' button located in the bottom right corner of the screen."
4,459,How can I add files to my 'cars' dataset?,"To add files to your 'cars' dataset, click the '+ Upload files' button located on the right side of the screenshot.",What do I do next to import data from a private cloud?,"After clicking '+ Upload files,' select a folder or create a new one to store your files. Then, select the 'Import from private cloud' tab and choose the integration you want to use.",How do I enter a description for my dataset?,You can enter a description for your dataset by clicking the pencil icon next to 'Enter description (optional)' displayed at the top of the dataset page.
5,167,How can I submit my labels for review after annotating this image?,"To submit your labels for review, click the 'Submit' button located at the top-right corner of the screen, highlighted in red.",What should I do if the image is unclear or doesn't require annotation?,"If the image is unclear or should not be annotated, click the 'Skip' button next to the 'Submit' button. This will update the task status to 'Skipped' and unassign it from you.","All issues need to be resolved before a task can be submitted, this may be the issue. Check the documentation for more details.",Why can't I submit my task?
6,259,What does the 'Apply to new occurrences' checkbox do in this screenshot?,"The 'Apply to new occurrences' checkbox, when selected, ensures that the dynamic attribute set for the current label is automatically applied to all future instance labels. This applies to both user-created and interpolated instance labels.",How can I ensure the attribute 'Moving or Still' is used for all future instances?,"To ensure the 'Moving or Still' attribute is used for all future instances, make sure the 'Apply to new occurrences' checkbox is checked, as shown below the 'Moving or Still' section in the screenshot.","I have checked the 'Apply to new occurrences', what do I do next to label the current instance properly?","Next, ensure you select the correct option for the 'Moving or Still' attribute from the provided options beneath it."
7,267,What projects are currently linked to this ontology?,"The project titled 'Chicken video' is currently linked to this ontology, and the user role assigned is 'Admin'.",How can I modify the settings for this ontology?,"To modify the settings for this ontology, click on the 'Settings' option in the menu. The 'Settings' link is highlighted in red just below the main name 'Chicken'.",What do I do next to view the details of the linked project?,"To view the details of the linked project, click the 'View project' link next to the project titled 'Chicken video'."
8,617,What does the Grid icon do in this interface?,"The Grid icon, located at the top right of the collection view, switches the display mode to a grid layout so you can see multiple items at once in a structured format.",---,---,What do I do next to start a similarity search?,Click the Similarity Search icon (represented by an image icon with a magnifying glass) next to the item you are interested in to initiate the similarity search.
9,15,How can I detach the 'Car detection model' from this project?,"To detach the 'Car detection model' from this project, click on the 'Settings' icon next to the model name and select 'Detach model.'",What type of model is currently attached to the 'Cars' project?,"The model attached to the 'Cars' project is a 'Segmentation' type model, as indicated under the 'Type' column in the model details.",What do I do next to start labeling cars in this project?,"Answer To start labeling cars in this project, click on the 'Start labelling' button located at the top right corner of the screen."
10,408,What does this 'Complete' icon signify in the project management interface?,"The 'Complete' icon signifies that a task in the project has been marked as complete, indicating the final stage of the task within the project lifecycle.",How can an admin access tasks marked with the 'Complete' status?,"Admins can still access tasks marked with the 'Complete' status, allowing them to review or manage these tasks even after completion.",What do I do next if I want to receive notifications for tasks reaching the 'Complete' stage?,"To receive notifications, add a Webhook by clicking the Edit icon next to 'Webhook' and entering the server URL where you'd like to receive the notifications for tasks arriving at the 'Complete' stage."
