index,Question 1,Answer 1,Question 2,Answer 2,Question 3,Answer 3
97,How can I set the default zoom level for single label review?,You can set the default zoom level for single label review by going to the Editor settings under General settings. Adjust the 'Set the default zoom level for single label view' option to your desired percentage.,What is the default zoom level for single label view according to the documentation?,"According to the documentation, the default zoom level is initially set to 60%.",What happens if I set the zoom level to 20% for single label view?,"Setting the zoom level to 20% corresponds to no zoom, displaying the image or frame at its original size in the Label Editor."
44,What should I type in the DNS Servers text field?,You should type 8.8.4.4 in the DNS Servers text field.,"After entering the DNS server address, what is the next step?","After entering the DNS server address, click OK.",How can I add another DNS server in this application?,"To add another DNS server, click the '+' button below the DNS Servers list."
440,What happens when the status of a project like 'Magical Marmosets' is changed to 'Paused'?,"When the status is changed to 'Paused', Annotators, Reviewers, and Annotator + Reviewers are prevented from opening tasks, and the 'Initiate' button is greyed out. Admins and Team Managers can still annotate and review tasks.",Can Annotators access a specific task if the project status is 'Cancelled'?,"Yes, Annotators can access a specific task if an Admin shares a specific URL of the task with them, despite the 'Cancelled' status.",Who is allowed to change the project status to 'Completed'?,Admins and Team Managers are allowed to change the project status to 'Completed'.
294,How do I add a group to the Project using this application?,"To add a group to the Project, click the 'Select group' drop-down, pick a group, then click the 'Select Role' drop-down to assign a role. Finally, click 'Add' to add the group.",Can a Project admin change the roles of collaborators?,"Yes, only Project admins can modify collaborator roles. However, admin roles cannot be changed, not even by other admins.",How can I remove a group from the Project?,"To delete a group from the Project, click the 'Delete' button next to the group name."
588,How do I export the Index Collection as a CSV file?,"First, select the checkbox for the Index Collection you want to export. Then click the more icon (three dots) and select 'Generate CSV' from the menu.",What should I do after the CSV is generated for the Index Collection?,"Once the CSV file is generated, click 'Download CSV' in the _Download Generated CSV_ dialog to download the file to your local computer.",Where do I find the option to generate a CSV file for a collection?,"After selecting the checkbox for your desired collection, click the more icon (three dots) next to the collection, and then choose 'Generate CSV' from the menu that appears."
66,How can I start automated labeling in the application?,"To start automated labeling, click the 'Automated labeling' button, which is highlighted in blue at the bottom left of the screen.",Where can I manage my instance labels?,"Instance labels can be managed in the panel on the left under 'Classes,' where you can see and edit instance labels such as 'Apple.'",How do I navigate to different frames in the video?,You can navigate to different frames using the timeline and playback controls located at the bottom of the screen below the video display.
388,How do I add a group as collaborators in my project?,Click the 'Manage' button in the 'Groups' section to open the 'Manage Groups' pop-up. Then use the 'Select group' drop-down to pick a group and click 'Add' to add them as collaborators.,Is it necessary to create user groups before adding them as collaborators?,"Yes, your organization needs to have user groups to add collaborators as a group. You can refer to the documentation on creating user groups for more details.",What should I do after selecting a group to add as collaborators?,"After selecting a group, choose a role for them from the 'Select Role' drop-down and then click 'Add' to assign the group as collaborators with the specified role."
372,How can I access the Annotator submission details for a specific user?,Click the **+** button next to a user's email address to reveal the Annotator submission details.,What information is displayed under the Annotator submissions tab?,"The Annotator submissions tab lists the Annotator's email address, the Data Unit's file name, the referred ontology Instance, and the Benchmark answer.",Where can I view the label for the Benchmark answer?,"To view the label for the Benchmark answer, click the corresponding option as indicated in the documentation."
67,How do I select the model I want to use in the Detection and segmentation section?,You can select the model by choosing from the dropdown list that shows the models previously attached to the project.,What is the purpose of setting the 'Confidence' in the application?,"The 'Confidence' setting, ranging from 0 to 1, determines how confident the model has to be for a data point to be included in its output.",What does the 'Polygon coarseness' setting do?,The 'Polygon coarseness' controls the spacing between vertices. A lower value allows for high resolution polygons but can cause performance issues if set too fine for large or complicated polygons.
68,How do I add or edit a webhook for the 'Annotate' stage?,"To add or edit a webhook for the 'Annotate' stage, click on the 'Annotate 1' stage in your workflow. In the pop-up that appears, click the edit symbol under the 'Webhook' heading, then enter the desired URL and press Enter to confirm.",Can I set up webhooks for all Workflow stages?,"No, webhooks can only be added to the 'Annotate' and 'Complete' stages. For the 'Annotate' stage, they trigger when tasks are submitted for review, and for the 'Complete' stage, they trigger when a task is completed.",What should I do after entering the URL for the webhook?,"After entering the URL for the webhook, make sure to press <Enter> on your keyboard to confirm and then ensure you save your changes to apply the webhook configuration."
