,index,image url,question,paligemma answer,paligemma answer finetuned,gpt4o model answer
0,1,https://storage.googleapis.com/docs-media.encord.com/static/img/Apollo/create-object-detection.png                                                                   ,What type of model is being created in this interface?,object detection,"You are creating an 'Object detection' model using the 'Object' framework, 'Model'. Select these options in the 'Model type' field.","The model being created is an 'Object detection' model, as indicated in the 'Model type' dropdown menu."
1,1,https://storage.googleapis.com/docs-media.encord.com/static/img/Apollo/create-object-detection.png                                                                   ,Which framework is selected for this model?,pytorch,"The framework selected is 'PYTORCH', as shown in the 'Framework' section and and the drop-down menu.","The selected framework for the model is 'PYTORCH', as shown in the 'Framework' dropdown menu."
2,1,https://storage.googleapis.com/docs-media.encord.com/static/img/Apollo/create-object-detection.png                                                                   ,What do I do next to finalize the creation of this apple detection model?,create model,"Answer To finalize the creation of the model, click the 'Create model' button located at the bottom right of the screen.","To finalize the creation of the apple detection model, click the 'Create model' button located at the bottom right of the interface."
3,90,https://storage.googleapis.com/docs-media.encord.com/static/img/apply-study-classification.png                                                                       ,How do I classify this scan as invalid?,no e,"To classify the scan as invalid, click on the radiobutton labeled 'no E' in the 'Valid Scan?' classification area. You can also click the 'Study' button next to the Study<seg060><seg073>.","To classify the scan as invalid, select the 'no' option under the 'Valid Scan?' section in the Classes panel. Then click the 'Study' button or use the Shift + M keyboard shortcut."
4,90,https://storage.googleapis.com/docs-media.encord.com/static/img/apply-study-classification.png                                                                       ,What does the 'View full study' button do?,shows the full view of the study,"The 'View full study' button allows you to see all studies and their classifications in the Label Editor, as mentioned in the documentation above the screenshot.","The 'View full study' button, located at the top of the screen, allows you to see all the series in your study."
5,90,https://storage.googleapis.com/docs-media.encord.com/static/img/apply-study-classification.png                                                                       ,What do I do next to submit this series after classification?,study,"After classification, click 'Submit' to submit the series<loc0706><loc0695><loc0655> from the 'Study' classification class you're using. You can also use the 'G' key to begin the annotation process.","After classifying, click the 'Submit' button in the top right corner of the Label Editor to submit the series, as indicated in the documentation below the screenshot."
6,92,https://storage.googleapis.com/docs-media.encord.com/static/img/general-settings-1.png                                                                               ,How often are my labels being auto-saved according to the current settings?,120 seconds,"The auto-saved interval is 120 seconds, as indicated in the 'Auto-save interval' section.",The labels are being auto-saved every 120 seconds as shown in the Auto-save interval setting.
7,92,https://storage.googleapis.com/docs-media.encord.com/static/img/general-settings-1.png                                                                               ,What should I do next to change the mouse wheel zoom direction?,scroll up to zoom in,"To change the mouse wheel zoom direction, equip<loc0755> on the settings your local<loc0765> camera vendor tool. The cad editor will not allow this action
If you have any questions about using a mouse wheel, consult the 'frame skip interval' section. You can find more information and ask the support team about enabling frame skip interval by clicking on the information icon next to 'Frame skip interval'.","To change the mouse wheel zoom direction, toggle the 'Invert mouse wheel zoom direction' switch from off to on, which will enable the 'Scroll up to zoom in' feature."
8,92,https://storage.googleapis.com/docs-media.encord.com/static/img/general-settings-1.png                                                                               ,"Is the 'Show skip to next annotation button' feature currently enabled, and what does it do?","it is currently disabled, which allows you to skip to the next frame",The 'Show skip to next annotation button' feature is currently enabled. It allows labels to be opened immediately after a<loc0955><seg121> or context changes.,"Yes, the 'Show skip to next annotation button' feature is currently enabled as indicated by the red toggle. This feature adds controls to navigate directly between frames with annotations."
9,134,https://storage.googleapis.com/docs-media.encord.com/static/img/view-full-study.png                                                                                  ,What does the 'View full study' button do in this interface?,view all data available,"The 'View full study' button allows you to see all scans in real-time, providing quick access to fully comprehending the content of the study without having to spend on detailed review.","The 'View full study' button allows you to view all series belonging to a study side-by-side, as indicated above the screenshot in the documentation."
10,134,https://storage.googleapis.com/docs-media.encord.com/static/img/view-full-study.png                                                                                  ,How can I see how many series are being viewed in this study?,view full study,You can see that there are 2 series being viewed by clicking on the notification bell '1 new series' located at the top navigation bar.,"The interface shows '2/6 series' at the top, indicating that 2 out of 6 series in the study are currently being viewed."
11,134,https://storage.googleapis.com/docs-media.encord.com/static/img/view-full-study.png                                                                                  ,What do I do next if I want to hide the full study view?,view full study,"To hide the full study view, click on the 'Hide study' button located at the top center of the screen. This will hide the image and the all-encompading annotations as mentioned in the documentation.","To hide the full study view, toggle the 'View full study' button, which will change it into the 'Hide full study' button, according to the documentation below the screenshot."
12,247,https://storage.googleapis.com/docs-media.encord.com/static/img/workflows/workflows-export-screen.png                                                                ,How can I select the files I want to export labels for?,select the files you want to export labels for by clicking on their names in the list.,You can select the files by clicking on them in the 'Select Labels' panel. The files selected are 'videos/screenshot.json3.mp4' as shown in the screenshot.,"To select the files you wish to export labels for, check the checkboxes next to each file you want to include in the export under the 'File' column in the 'Select Labels' section."
13,247,https://storage.googleapis.com/docs-media.encord.com/static/img/workflows/workflows-export-screen.png                                                                ,What export format options are available?,json,"The export format options visible in the screenshot are 'JSON', 'COCO', and 'File'. Among these options, 'JSON' has changed. To generate a signed URL³.","You can select between two export formats: JSON and COCO, as shown under the 'Format' section on the left side of the screen."
14,247,https://storage.googleapis.com/docs-media.encord.com/static/img/workflows/workflows-export-screen.png                                                                ,What do I do next to export the selected labels?,export,"To export the selected labels, click the 'Export' button at the top right of the 'Select Labels' section.","After selecting the desired files and options, click the 'Export' button located next to the 'Filter' option at the top of the 'Select Labels' section to initiate the export process."
